team,n,raw,sd,hit_raw,shrunk,hit_shrunk,reliability,shrink_factor,usable,position,category,season
Newcastle,158,0.42785435616932865,3.2453162747839017,0.026021188867592974,0.2503998466656529,0.015228784301367744,0.2406530681569421,0.5852455235177133,False,Midfielder,permissive,2025-2026
Brentford,153,0.39891355200945,3.0721165802218846,0.02048580033960715,0.23346237058408112,0.011989222944432736,0.2406530681569421,0.5852455235177133,False,Midfielder,permissive,2025-2026
Man City,155,0.3097566275185707,3.326463552239641,0.005669039561629378,0.1812836796351872,0.0033177800260884133,0.2406530681569421,0.5852455235177133,False,Midfielder,permissive,2025-2026
Nott'm Forest,161,0.3057277428159519,3.3884915626908776,0.005641917480419991,0.17892579289821056,0.0033019069494721357,0.2406530681569421,0.5852455235177133,False,Midfielder,permissive,2025-2026
Bournemouth,161,0.27515625640092195,3.115011983042201,-0.050585752427929766,0.16103396732653172,-0.02960508516222119,0.2406530681569421,0.5852455235177133,False,Midfielder,permissive,2025-2026
Tottenham,174,0.2733962704256876,3.4677021610370016,0.04775421636156566,0.16000394341307186,0.027947941354702646,0.2406530681569421,0.5852455235177133,False,Midfielder,neutral,2025-2026
Burnley,167,0.16133046903277184,3.3408533035376013,0.03445126075245297,0.0944179348084428,0.02016244613491459,0.2406530681569421,0.5852455235177133,False,Midfielder,neutral,2025-2026
Man United,158,0.15624328765768283,2.9302344388352037,0.0234314207042679,0.09144068468134926,0.013713134076833054,0.2406530681569421,0.5852455235177133,False,Midfielder,neutral,2025-2026
Chelsea,157,0.0987762186584153,3.249624594880782,-0.009252155384837675,0.05780833979984438,-0.005414782521866556,0.2406530681569421,0.5852455235177133,False,Midfielder,neutral,2025-2026
Liverpool,155,-0.1494985156051611,3.2445956479977927,-0.001006618217570612,-0.08749333703046354,-0.0005891188057245803,0.2406530681569421,0.5852455235177133,False,Midfielder,neutral,2025-2026
Wolves,162,-0.209873518887644,3.5736675652284076,-0.018956484317879326,-0.1228275374339039,-0.011094197588672609,0.2406530681569421,0.5852455235177133,False,Midfielder,neutral,2025-2026
Brighton,161,-0.21581175792779425,3.5613105748836924,-0.026596637416218018,-0.12630286524972997,-0.015565562988465316,0.2406530681569421,0.5852455235177133,False,Midfielder,suppressing,2025-2026
Crystal Palace,163,-0.3084345116932847,3.0799791463885056,-0.01742817241755967,-0.18050991726686666,-0.01019975989047168,0.2406530681569421,0.5852455235177133,False,Midfielder,suppressing,2025-2026
Arsenal,166,-0.3859560566859262,2.9405258367957514,-0.01907626543289769,-0.2258790544499871,-0.011164298950039066,0.2406530681569421,0.5852455235177133,False,Midfielder,suppressing,2025-2026
Sunderland,156,-0.4675467757964668,3.1892130356732133,-0.012605802970022305,-0.27362965757002217,-0.007377489758551849,0.2406530681569421,0.5852455235177133,False,Midfielder,suppressing,2025-2026
Fulham,152,-0.5293573677906194,3.3139486360288095,-0.009664940630062607,-0.30980402984057975,-0.0056563632388086085,0.2406530681569421,0.5852455235177133,False,Midfielder,suppressing,2025-2026
Leeds,142,-0.6271285366716537,2.9333980109421325,-0.027790174980006153,-0.36702416875729943,-0.016264075504822558,0.2406530681569421,0.5852455235177133,False,Midfielder,suppressing,2025-2026
West Ham,156,-0.6880938195810347,3.007589397042996,-0.04376215706582966,-0.4027038276700056,-0.025611606522255873,0.2406530681569421,0.5852455235177133,False,Midfielder,suppressing,2025-2026
