player_code,pen_now,pen_prev,penalties_order,declared_first,prev_taker,either
214572,0.0,0.0,,0.0,0.0,0.0
214590,0.0,0.0,,0.0,0.0,0.0
214964,0.0,0.0,,0.0,0.0,0.0
215059,0.0,0.0,,0.0,0.0,0.0
215136,0.0,0.0,,0.0,0.0,0.0
215379,1.0,0.0,4.0,0.0,0.0,0.0
215413,0.0,0.0,,0.0,0.0,0.0
215439,0.0,0.0,,0.0,0.0,0.0
215711,0.0,0.0,,0.0,0.0,0.0
216051,0.0,0.0,,0.0,0.0,0.0
216055,0.0,0.0,,0.0,0.0,0.0
216094,0.0,0.0,,0.0,0.0,0.0
216616,0.0,0.0,,0.0,0.0,0.0
216646,0.0,0.0,,0.0,0.0,0.0
218218,0.0,0.0,,0.0,0.0,0.0
218328,0.0,0.0,,0.0,0.0,0.0
218364,0.0,0.0,,0.0,0.0,0.0
219168,0.0,4.0,,0.0,1.0,1.0
219249,1.0,1.0,3.0,0.0,0.0,0.0
219279,0.0,0.0,,0.0,0.0,0.0
219847,0.0,0.0,,0.0,0.0,0.0
219924,0.0,0.0,,0.0,0.0,0.0
220237,0.0,0.0,,0.0,0.0,0.0
220362,0.0,0.0,,0.0,0.0,0.0
220394,0.0,0.0,,0.0,0.0,0.0
220566,0.0,0.0,,0.0,0.0,0.0
220583,0.0,0.0,,0.0,0.0,0.0
220585,0.0,0.0,,0.0,0.0,0.0
220627,0.0,0.0,,0.0,0.0,0.0
220695,0.0,0.0,,0.0,0.0,0.0
221389,0.0,0.0,,0.0,0.0,0.0
221399,0.0,0.0,,0.0,0.0,0.0
221466,0.0,0.0,,0.0,0.0,0.0
221632,0.0,0.0,,0.0,0.0,0.0
221820,0.0,0.0,,0.0,0.0,0.0
222018,0.0,0.0,,0.0,0.0,0.0
222531,1.0,0.0,2.0,0.0,0.0,0.0
222625,0.0,0.0,,0.0,0.0,0.0
222683,0.0,6.0,1.0,1.0,1.0,1.0
222690,0.0,0.0,,0.0,0.0,0.0
222694,0.0,0.0,,0.0,0.0,0.0
223094,4.0,4.0,1.0,1.0,1.0,1.0
223336,0.0,0.0,,0.0,0.0,0.0
223340,1.0,1.0,1.0,1.0,0.0,1.0
223434,0.0,0.0,,0.0,0.0,0.0
223541,0.0,0.0,,0.0,0.0,0.0
223723,0.0,0.0,,0.0,0.0,0.0
223827,0.0,0.0,,0.0,0.0,0.0
224024,2.0,2.0,,0.0,1.0,1.0
224117,3.0,0.0,2.0,0.0,0.0,0.0
224860,0.0,0.0,,0.0,0.0,0.0
224967,0.0,0.0,,0.0,0.0,0.0
224995,0.0,0.0,,0.0,0.0,0.0
225321,0.0,0.0,,0.0,0.0,0.0
225796,0.0,0.0,,0.0,0.0,0.0
225902,0.0,0.0,,0.0,0.0,0.0
226182,0.0,0.0,,0.0,0.0,0.0
226597,0.0,0.0,,0.0,0.0,0.0
226944,0.0,0.0,,0.0,0.0,0.0
226956,0.0,0.0,,0.0,0.0,0.0
227127,0.0,0.0,,0.0,0.0,0.0
227444,0.0,0.0,,0.0,0.0,0.0
229164,0.0,0.0,,0.0,0.0,0.0
229384,0.0,0.0,,0.0,0.0,0.0
229600,0.0,0.0,,0.0,0.0,0.0
230001,0.0,0.0,,0.0,0.0,0.0
230046,0.0,0.0,,0.0,0.0,0.0
230348,0.0,0.0,,0.0,0.0,0.0
230376,0.0,0.0,,0.0,0.0,0.0
231057,0.0,0.0,,0.0,0.0,0.0
231065,0.0,0.0,,0.0,0.0,0.0
231416,0.0,0.0,,0.0,0.0,0.0
231480,0.0,0.0,,0.0,0.0,0.0
231747,4.0,2.0,2.0,0.0,1.0,1.0
231899,0.0,0.0,,0.0,0.0,0.0
232112,0.0,0.0,,0.0,0.0,0.0
232185,3.0,0.0,3.0,0.0,0.0,0.0
232228,0.0,0.0,,0.0,0.0,0.0
232413,0.0,2.0,,0.0,1.0,1.0
232571,0.0,0.0,,0.0,0.0,0.0
232653,0.0,0.0,,0.0,0.0,0.0
232787,0.0,0.0,,0.0,0.0,0.0
232792,0.0,0.0,,0.0,0.0,0.0
232826,3.0,2.0,1.0,1.0,1.0,1.0
232859,0.0,0.0,,0.0,0.0,0.0
232892,0.0,0.0,,0.0,0.0,0.0
232917,0.0,0.0,,0.0,0.0,0.0
232928,0.0,0.0,2.0,0.0,0.0,0.0
232980,0.0,0.0,,0.0,0.0,0.0
233963,0.0,0.0,,0.0,0.0,0.0
235448,0.0,0.0,,0.0,0.0,0.0
235530,0.0,0.0,,0.0,0.0,0.0
235826,0.0,0.0,3.0,0.0,0.0,0.0
242880,0.0,0.0,,0.0,0.0,0.0
242882,0.0,0.0,,0.0,0.0,0.0
242898,0.0,0.0,,0.0,0.0,0.0
243016,0.0,0.0,4.0,0.0,0.0,0.0
243298,0.0,0.0,3.0,0.0,0.0,0.0
243505,0.0,0.0,,0.0,0.0,0.0
243526,0.0,0.0,,0.0,0.0,0.0
243568,0.0,0.0,,0.0,0.0,0.0
243571,0.0,0.0,,0.0,0.0,0.0
244042,0.0,0.0,,0.0,0.0,0.0
244619,0.0,0.0,,0.0,0.0,0.0
244723,0.0,0.0,,0.0,0.0,0.0
244731,0.0,0.0,,0.0,0.0,0.0
244845,0.0,0.0,,0.0,0.0,0.0
244850,0.0,0.0,,0.0,0.0,0.0
244851,6.0,5.0,1.0,1.0,1.0,1.0
244858,0.0,0.0,4.0,0.0,0.0,0.0
244954,0.0,0.0,,0.0,0.0,0.0
245419,0.0,0.0,,0.0,0.0,0.0
245719,0.0,0.0,,0.0,0.0,0.0
245824,0.0,0.0,,0.0,0.0,0.0
246301,0.0,0.0,,0.0,0.0,0.0
247348,0.0,0.0,,0.0,0.0,0.0
247412,2.0,0.0,,0.0,0.0,0.0
247632,0.0,0.0,,0.0,0.0,0.0
247670,0.0,0.0,,0.0,0.0,0.0
247693,0.0,0.0,,0.0,0.0,0.0
247955,0.0,0.0,,0.0,0.0,0.0
248056,0.0,0.0,,0.0,0.0,0.0
