player_code,season,x,nx,pos,si,y,ny,pos_pred,w,player_pred,flat90,delta_vs_pos
83299,2022-23,90.0,36,DEF,6,89.2258064516129,31,87.5,0.8625832288761219,89.6564580721903,90.0,2.156458072190304
83299,2023-24,89.2258064516129,31,DEF,7,88.52173913043478,23,87.5,0.8438794878379978,88.95637266449461,90.0,1.4563726644946087
83299,2024-25,88.52173913043478,23,DEF,8,90.0,31,87.5,0.8004147369923426,88.31781505736174,90.0,0.8178150573617415
83314,2016-17,89.0,30,MID,0,81.23076923076923,26,83.1,0.8395106600310144,88.05311289418299,90.0,4.953112894182993
83314,2017-18,81.23076923076923,26,MID,1,82.81818181818181,22,83.1,0.8192820394525251,81.5685728031772,90.0,-1.53142719682279
83314,2018-19,82.81818181818181,22,MID,2,87.47619047619048,21,83.1,0.7932186122041907,82.87645657292427,90.0,-0.22354342707572528
83314,2019-20,87.47619047619048,21,MID,3,82.86666666666666,15,83.1,0.7854841596035032,86.53742829845534,90.0,3.4374282984553446
83543,2017-18,85.29629629629629,27,MID,1,82.44444444444444,18,83.1,0.8248026562634164,84.91151101912668,90.0,1.8115110191266837
84182,2023-24,90.0,29,GK,7,90.0,24,89.9,0.8348902810601913,89.98348902810602,90.0,0.08348902810601544
84182,2024-25,90.0,24,GK,8,90.0,20,89.9,0.8071268463216613,89.98071268463217,90.0,0.08071268463216086
84450,2016-17,84.46428571428571,28,MID,0,87.70270270270271,37,83.1,0.829995980948208,84.2323516597222,90.0,1.1323516597222039
84450,2017-18,87.70270270270271,37,MID,1,88.70370370370371,27,83.1,0.8657987767774127,87.0850143698701,90.0,3.9850143698701004
84450,2018-19,88.70370370370371,27,MID,2,87.37931034482759,29,83.1,0.8248026562634164,87.72194969972796,90.0,4.621949699727963
84450,2019-20,87.37931034482759,29,MID,3,88.22222222222223,27,83.1,0.8348902810601913,86.67275461653689,90.0,3.5727546165368977
84450,2020-21,88.22222222222223,27,MID,4,88.1923076923077,26,83.1,0.8248026562634164,87.32482249486038,90.0,4.2248224948603905
84450,2021-22,88.1923076923077,26,MID,5,86.45454545454545,33,83.1,0.8192820394525251,87.27203623167364,90.0,4.172036231673644
84583,2016-17,82.41666666666667,24,MID,0,84.38461538461539,13,83.1,0.8071268463216613,82.5484633216802,90.0,-0.5515366783197919
84939,2018-19,76.89473684210526,19,FWD,2,84.61290322580645,31,81.5,0.7681391063467261,77.96251727340324,90.0,-3.537482726596764
84939,2019-20,84.61290322580645,31,FWD,3,85.68181818181819,22,81.5,0.8438794878379978,84.1269151798828,90.0,2.6269151798828005
84939,2020-21,85.68181818181819,22,FWD,4,79.04545454545455,22,81.5,0.7932186122041907,84.81709601467207,90.0,3.3170960146720745
84939,2021-22,79.04545454545455,22,FWD,5,79.53333333333333,15,81.5,0.7932186122041907,79.55300886095335,90.0,-1.946991139046645
85352,2016-17,89.88571428571429,35,DEF,0,87.33333333333333,12,87.5,0.8592098049585397,89.54982910611537,90.0,2.049829106115368
85368,2017-18,90.0,35,DEF,1,89.44444444444444,36,87.5,0.8592098049585397,89.64802451239635,90.0,2.148024512396347
85624,2017-18,88.5,26,DEF,1,89.23529411764706,17,87.5,0.8192820394525251,88.31928203945252,90.0,0.8192820394525171
