season,team,opp,md,rest,opp_rest,rest_diff,resid
1516,Chelsea,Liverpool,11,6.0,5.0,1.0,-0.4144921677409539
1516,Chelsea,Stoke,12,7.0,7.0,0.0,-0.30970209827974804
1516,Chelsea,Norwich,13,13.0,14.0,-1.0,0.5033425875262298
1516,Chelsea,Tottenham,14,7.0,6.0,1.0,-0.6566095484007444
1516,Chelsea,Bournemouth,15,6.0,7.0,-1.0,0.07006629094466121
1516,Chelsea,Leicester,16,9.0,9.0,0.0,1.1592631622667702
1516,Chelsea,Sunderland,17,4.0,7.0,-3.0,0.5508477457091283
1516,Chelsea,Watford,18,7.0,6.0,1.0,-0.14865681646891904
1516,Chelsea,Man United,19,2.0,2.0,0.0,-0.10802099135897758
1516,Chelsea,Crystal Palace,20,5.0,5.0,0.0,1.055756988313401
1516,Chelsea,West Brom,21,10.0,11.0,-1.0,-0.1483489147769288
1516,Chelsea,Everton,22,2.0,2.0,0.0,0.8239297118203943
1516,Chelsea,Arsenal,23,8.0,6.0,2.0,0.6128864697659407
1516,Chelsea,Watford,24,10.0,11.0,-1.0,-0.07230570915604462
1516,Chelsea,Man United,25,3.0,4.0,-1.0,0.3809114879950193
1516,Chelsea,Newcastle,26,6.0,7.0,-1.0,0.4146156053644203
1516,Chelsea,Southampton,27,13.0,14.0,-1.0,-0.5196813507134171
1516,Chelsea,Norwich,28,3.0,3.0,0.0,-0.3756165798399087
1516,Chelsea,Stoke,29,3.0,2.0,1.0,-0.5749411013309085
1516,Chelsea,West Ham,30,14.0,14.0,0.0,-0.21961272617842176
1516,Chelsea,Aston Villa,31,13.0,13.0,0.0,0.27311198428805117
1516,Chelsea,Swansea,32,7.0,7.0,0.0,-0.07726600661638972
1516,Chelsea,Man City,33,7.0,7.0,0.0,-0.7007644137453445
1516,Chelsea,Bournemouth,34,6.0,6.0,0.0,0.7659973828607203
1516,Chelsea,Tottenham,35,9.0,7.0,2.0,-0.33465405857624464
1516,Chelsea,Sunderland,36,4.0,7.0,-3.0,0.38204816146022536
1516,Chelsea,Liverpool,37,4.0,3.0,1.0,-0.1268919923193892
1516,Chelsea,Leicester,38,3.0,7.0,-4.0,-0.25953220249430564
1516,Crystal Palace,Arsenal,2,7.0,7.0,0.0,0.14575083524973853
1516,Crystal Palace,Aston Villa,3,6.0,7.0,-1.0,-0.12697030163832768
1516,Crystal Palace,Chelsea,4,7.0,6.0,1.0,1.3533242690185958
1516,Crystal Palace,Man City,5,14.0,14.0,0.0,-0.16449984768898918
1516,Crystal Palace,Tottenham,6,7.0,7.0,0.0,-0.17946763065228233
1516,Crystal Palace,Watford,7,7.0,8.0,-1.0,0.6509370392966107
1516,Crystal Palace,West Brom,8,5.0,4.0,1.0,0.058331082926946554
1516,Crystal Palace,West Ham,9,14.0,14.0,0.0,-0.8985273461583096
1516,Crystal Palace,Leicester,10,7.0,7.0,0.0,-0.6074464688857846
1516,Crystal Palace,Man United,11,7.0,6.0,1.0,-0.0038208990156666234
1516,Crystal Palace,Liverpool,12,8.0,8.0,0.0,0.13200411829322622
1516,Crystal Palace,Sunderland,13,15.0,16.0,-1.0,-0.6084521729965611
1516,Crystal Palace,Newcastle,14,4.0,7.0,-3.0,0.40200459608115713
1516,Crystal Palace,Everton,15,9.0,9.0,0.0,0.17736119827663055
1516,Crystal Palace,Southampton,16,4.0,7.0,-3.0,0.2353787881939835
1516,Crystal Palace,Stoke,17,7.0,7.0,0.0,0.17184608365846166
