season,player_code,role,dc,hit,mins,opp_str,own_str,conceded,is_home
2025-2026,83299,CB,5.0,0.0,90,1.7102097902097901,1.5276335877862597,3.0,True
2025-2026,106760,FB,6.0,0.0,81,1.4670422535211267,1.7063125,0.0,False
2025-2026,231416,FB,4.0,0.0,90,1.7102097902097901,1.5276335877862597,3.0,True
2025-2026,230001,CB,5.0,0.0,73,1.4670422535211267,1.7063125,0.0,False
2025-2026,221820,FB,4.0,0.0,90,1.4670422535211267,1.7063125,0.0,False
2025-2026,596777,FB,1.0,0.0,61,1.4670422535211267,1.7063125,0.0,False
2025-2026,95658,CB,7.0,0.0,90,1.4670422535211267,1.7063125,0.0,False
2025-2026,515597,FB,3.0,0.0,72,1.8812337662337661,1.2532258064516129,1.0,False
2025-2026,184667,FB,5.0,0.0,72,1.8812337662337661,1.2532258064516129,1.0,False
2025-2026,441302,FB,14.0,1.0,90,1.8812337662337661,1.2532258064516129,1.0,False
2025-2026,126184,CB,1.0,0.0,76,1.241111111111111,1.8621383647798742,2.0,True
2025-2026,149484,CB,11.0,1.0,90,1.8812337662337661,1.2532258064516129,1.0,False
2025-2026,17761,CB,10.0,1.0,90,1.0653061224489795,1.2333802816901407,1.0,False
2025-2026,106611,CB,11.0,1.0,90,1.0653061224489795,1.2333802816901407,1.0,False
2025-2026,135720,CB,11.0,1.0,90,1.2277852348993288,1.078201438848921,0.0,True
2025-2026,224967,FB,6.0,0.0,90,1.0653061224489795,1.2333802816901407,1.0,False
2025-2026,232859,FB,3.0,0.0,90,1.2277852348993288,1.078201438848921,0.0,True
2025-2026,441164,FB,11.0,1.0,90,1.2277852348993288,1.078201438848921,0.0,True
2025-2026,487053,FB,3.0,0.0,89,1.2277852348993288,1.078201438848921,0.0,True
2025-2026,512462,CB,4.0,0.0,61,1.0653061224489795,1.2333802816901407,1.0,False
2025-2026,491279,CB,6.0,0.0,90,1.2277852348993288,1.078201438848921,0.0,True
2025-2026,179268,FB,2.0,0.0,90,1.0117021276595746,1.7587671232876714,2.0,False
