player,pos,team,cost,own,0.0,0.25,0.5,0.75,1.0,range
Mac Allister,MID,Liverpool,5.4,1.4,16.496,16.792,17.171,17.592,17.859,1.362
Munoz,MID,Liverpool,6.5,1.2,16.409,,,,,0.0
Justin,DEF,Leeds,4.5,1.5,16.386,16.918,17.255,17.565,17.947,1.56
Yarmoliuk,MID,Brentford,4.9,0.8,16.364,15.54,14.897,14.437,14.072,2.292
Livramento,DEF,Newcastle,4.9,0.0,16.231,16.487,16.559,16.72,16.985,0.753
van Ewijk,DEF,Coventry,4.0,11.2,16.231,,,,,0.0
Thomas,DEF,Coventry,4.0,8.7,16.174,,,,,0.0
Aaronson,MID,Leeds,5.4,0.6,16.074,16.074,16.074,16.074,16.074,0.0
Wood,FWD,Nott'm Forest,5.9,1.1,16.008,17.885,18.701,19.396,19.988,3.981
Kamara,MID,Aston Villa,5.0,0.3,15.968,15.874,15.34,15.162,14.997,0.971
Sadiki,MID,Sunderland,5.0,0.3,15.94,15.94,15.94,15.94,15.94,0.0
James,DEF,Chelsea,5.4,7.8,15.925,15.778,15.326,14.925,14.89,1.035
Gusto,DEF,Chelsea,5.0,1.1,15.9,15.692,15.613,15.22,15.333,0.68
Gonzalo,FWD,Fulham,6.0,4.3,15.898,,,,,0.0
Roefs,GK,Sunderland,5.0,3.1,15.887,15.887,15.887,15.887,15.887,0.0
Martinez,DEF,Man United,5.0,1.2,15.857,17.717,18.819,19.662,20.379,4.522
Pau,DEF,Aston Villa,4.5,0.4,15.752,16.567,17.206,17.481,17.83,2.078
Yoro,DEF,Man United,4.9,0.5,15.74,15.592,15.406,15.466,15.443,0.334
Aït-Nouri,DEF,Man City,5.3,0.5,15.729,18.632,21.056,22.38,22.921,7.192
Ayari,MID,Brighton,5.4,0.4,15.664,15.53,15.429,15.746,15.721,0.317
Leno,GK,Fulham,4.5,3.0,15.656,15.97,16.109,16.21,16.281,0.625
Barry,FWD,Everton,5.6,5.5,15.631,15.631,15.631,15.631,15.631,0.0
L.Miley,MID,Newcastle,5.5,0.1,15.617,14.921,14.245,13.713,13.196,2.421
Okafor,MID,Leeds,5.9,0.3,15.499,15.499,15.499,15.499,15.499,0.0
Kamada,MID,Crystal Palace,5.0,0.3,15.495,14.619,13.793,13.373,12.971,2.524
Kelleher,GK,Brentford,5.0,6.8,15.398,15.573,15.613,15.671,15.712,0.314
Brooks,MID,Bournemouth,5.0,0.1,15.395,14.929,14.481,14.479,13.796,1.6
Adams,MID,Bournemouth,5.0,0.3,15.392,15.588,15.766,15.799,15.837,0.445
Berge,MID,Fulham,5.0,0.3,15.382,14.815,14.465,14.012,13.737,1.645
Yalcouyé,MID,Brighton,4.5,2.7,15.268,,,,,0.0
Martinez,GK,Chelsea,5.0,4.9,15.25,15.131,15.134,15.128,15.195,0.121
Caicedo,MID,Chelsea,5.4,1.7,15.248,15.587,15.733,15.782,16.142,0.895
Sels,GK,Nott'm Forest,5.0,1.4,15.169,15.592,15.895,16.025,16.301,1.132
Ajer,DEF,Brentford,4.5,4.9,15.145,15.31,15.604,15.767,15.711,0.622
A.Becker,GK,Liverpool,5.5,3.8,15.111,15.524,15.719,15.816,15.921,0.81
Diomande,DEF,Nott'm Forest,5.4,0.6,15.095,,,,,0.0
Tonali,MID,Tottenham,5.4,2.7,14.977,15.469,15.779,16.211,16.184,1.234
Solanke,FWD,Tottenham,5.9,1.0,14.975,17.062,18.594,20.023,20.768,5.794
Davis,DEF,Ipswich,4.0,5.1,14.969,,,,,0.0
Gallagher,MID,Tottenham,5.4,0.2,14.848,14.848,14.848,14.848,14.848,0.0
Slater,MID,Hull,4.5,5.1,14.616,,,,,0.0
Maatsen,DEF,Aston Villa,4.5,0.8,14.506,13.966,13.807,13.493,13.482,1.024
Robinson,DEF,Fulham,4.5,1.5,14.486,16.3,17.428,18.302,18.88,4.394
Yeremy,MID,Crystal Palace,5.5,0.3,14.463,14.463,14.463,14.463,14.463,0.0
Estêvão,MID,Chelsea,6.4,0.8,14.418,14.418,14.418,14.418,14.418,0.0
Isak,FWD,Liverpool,9.1,20.4,14.313,19.211,22.315,23.955,25.493,11.18
Dorgu,MID,Man United,5.8,0.7,14.224,14.324,14.175,14.198,14.181,0.149
White,DEF,Arsenal,5.5,7.6,14.154,15.669,16.483,17.462,18.433,4.279
O'Shea,DEF,Ipswich,4.0,3.1,14.097,,,,,0.0
Lewis,DEF,Man City,4.5,0.2,14.059,15.421,16.612,17.216,17.97,3.911
Castagne,DEF,Fulham,4.5,0.9,13.981,14.128,14.243,14.283,14.53,0.549
J.Murphy,MID,Newcastle,5.9,0.1,13.963,15.311,16.257,17.164,17.846,3.883
Buendía,MID,Aston Villa,5.9,1.0,13.959,13.647,13.425,13.167,13.141,0.818
Florentino,MID,Ipswich,4.9,0.1,13.939,13.939,13.939,13.939,13.939,0.0
Ødegaard,MID,Arsenal,6.6,13.4,13.936,16.011,17.248,18.355,19.251,5.315
Janelt,MID,Brentford,5.0,1.5,13.914,14.649,14.851,15.288,15.517,1.603
Ajayi,DEF,Hull,4.1,11.1,13.815,,,,,0.0
Petrović,GK,Bournemouth,4.5,3.3,13.676,13.676,13.676,13.676,13.676,0.0
Mainoo,MID,Man United,5.5,1.3,13.666,14.226,14.323,14.344,14.388,0.722
Kerkez,DEF,Liverpool,5.4,2.8,13.657,14.817,15.779,16.031,16.52,2.863
Kusi-Asare,FWD,Fulham,4.5,6.3,13.65,,,,,0.0
Flemming,FWD,Ipswich,5.5,0.0,13.62,13.62,13.62,13.62,13.62,0.0
Pope,GK,Newcastle,4.9,1.1,13.551,14.313,14.725,14.856,15.237,1.686
Igor Jesus,FWD,Nott'm Forest,5.9,2.7,13.538,13.538,13.538,13.538,13.538,0.0
Cook,MID,Bournemouth,5.0,0.2,13.518,15.673,16.884,17.797,18.468,4.95
J.Cuenca,DEF,Fulham,4.5,0.0,13.494,13.52,13.275,13.571,13.534,0.296
Suzuki,GK,Aston Villa,5.0,1.5,13.428,,,,,0.0
George Hemmings,MID,Aston Villa,4.5,1.1,13.389,,,,,0.0
Mount,MID,Man United,5.4,0.0,13.379,13.539,13.664,14.178,14.094,0.799
Hudson-Odoi,MID,Nott'm Forest,5.9,0.2,13.374,13.359,13.55,13.941,13.942,0.583
Garnacho,MID,Aston Villa,5.9,0.4,13.363,14.047,14.472,14.89,14.908,1.544
Mendy,DEF,Hull,4.0,7.0,13.322,,,,,0.0
Brobbey,FWD,Sunderland,5.9,8.0,13.258,13.258,13.258,13.258,13.258,0.0
Lewis-Potter,MID,Brentford,5.5,2.2,13.214,14.329,14.997,15.356,15.762,2.547
Egan,DEF,Hull,4.1,6.2,13.189,,,,,0.0
Wilson,FWD,Brentford,5.5,0.4,13.181,12.636,12.367,12.046,11.769,1.413
Palestra,DEF,Chelsea,5.4,1.1,13.134,,,,,0.0
N.Gonzalez,MID,Newcastle,5.5,0.3,13.08,13.312,13.615,13.886,14.356,1.276
Lerma,MID,Crystal Palace,4.9,0.1,13.066,13.479,13.616,13.801,14.036,0.971
Kluivert,MID,Bournemouth,6.0,1.0,13.014,14.393,15.281,15.811,16.169,3.155
Smith Rowe,MID,Fulham,5.4,0.3,12.995,13.353,13.53,13.691,14.047,1.052
Dubravka,GK,Tottenham,4.0,17.9,12.925,13.023,13.187,13.255,13.233,0.329
Reed,MID,Fulham,4.5,1.2,12.913,,,,,0.0
Lukić,MID,Ipswich,5.0,0.1,12.892,13.235,13.699,13.966,13.926,1.074
Frimpong,DEF,Liverpool,5.4,2.5,12.716,12.716,12.716,12.716,12.716,0.0
Davies,DEF,Tottenham,4.0,0.9,12.704,,,,,0.0
Silva,DEF,Bournemouth,5.0,0.4,12.69,,,,,0.0
De Cuyper,DEF,Brighton,4.8,19.6,12.565,12.565,12.565,12.565,12.565,0.0
Horníček,GK,Newcastle,5.0,1.3,12.563,,,,,0.0
Mazraoui,DEF,Man United,4.5,0.6,12.552,14.786,16.173,17.134,17.996,5.444
Wissa,FWD,Newcastle,6.2,16.9,12.52,15.989,18.924,20.784,21.94,9.42
Braithwaite,DEF,Man City,4.0,0.2,12.501,,,,,0.0
Abraham,FWD,Aston Villa,5.5,0.2,12.498,12.498,12.498,12.498,12.498,0.0
Madueke,MID,Arsenal,6.3,0.2,12.484,15.085,16.65,18.298,19.135,6.652
Zirkzee,FWD,Man United,5.4,0.4,12.458,12.804,13.021,13.002,13.108,0.65
Barkley,MID,Aston Villa,5.0,0.3,12.332,12.061,11.77,11.631,11.597,0.735
McAteer,MID,Ipswich,4.5,1.2,12.279,,,,,0.0
Henderson,GK,Crystal Palace,5.0,1.9,12.258,12.505,12.63,12.678,12.842,0.584
Burrowes,MID,Aston Villa,4.5,0.7,12.192,,,,,0.0
J.Ramsey,MID,Newcastle,4.9,0.3,12.174,12.322,12.471,12.568,12.621,0.447
Bobb,MID,Fulham,5.5,0.3,12.112,11.812,11.649,11.699,11.464,0.648
Ngumoha,MID,Liverpool,5.8,0.6,12.109,12.109,12.109,12.109,12.109,0.0
N.Angulo,MID,Sunderland,5.0,0.1,12.095,12.095,12.095,12.095,12.095,0.0
Tomiyasu,DEF,Crystal Palace,4.5,0.3,12.022,,,,,0.0
Amass,DEF,Man United,4.0,0.2,12.016,,,,,0.0
John,GK,Nott'm Forest,4.5,0.1,12.012,12.012,12.012,12.012,12.012,0.0
Muniz,FWD,Fulham,5.4,0.5,11.977,11.733,11.83,11.858,11.656,0.321
Delap,FWD,Nott'm Forest,5.5,0.8,11.964,12.532,13.281,13.665,14.129,2.165
Chilwell,DEF,Crystal Palace,4.5,0.3,11.922,,,,,0.0
Andrey Santos,MID,Man United,4.9,0.7,11.907,11.907,11.907,11.907,11.907,0.0
Obi,FWD,Man United,4.5,1.2,11.901,,,,,0.0
Nmecha,FWD,Leeds,5.4,0.5,11.837,11.837,11.837,11.837,11.837,0.0
Udogie,DEF,Tottenham,4.5,0.4,11.789,12.638,12.682,13.122,13.27,1.482
McNeil,MID,Crystal Palace,5.4,0.1,11.782,12.459,12.864,13.19,13.394,1.613
Greaves,DEF,Ipswich,4.0,1.2,11.755,,,,,0.0
Heaven,DEF,Man United,4.4,0.3,11.719,11.489,11.585,11.54,11.384,0.335
Ellborg,GK,Sunderland,4.5,0.1,11.714,11.714,11.714,11.714,11.714,0.0
Strand Larsen,FWD,Crystal Palace,6.0,0.5,11.695,12.764,13.463,14.081,14.342,2.647
Chavarria,DEF,Chelsea,4.9,0.2,11.687,,,,,0.0
N.Jackson,FWD,Aston Villa,6.5,1.1,11.677,,,,,0.0
Palmer,GK,Ipswich,4.0,4.2,11.673,,,,,0.0
Netz,DEF,Nott'm Forest,4.5,0.0,11.668,11.668,11.668,11.668,11.668,0.0
Meunier,DEF,Sunderland,4.5,0.3,11.636,,,,,0.0
Tel,MID,Tottenham,5.9,0.3,11.572,12.332,12.77,13.207,13.535,1.963
Khalaili,DEF,Crystal Palace,5.0,0.2,11.552,,,,,0.0
Hato,DEF,Chelsea,4.5,0.8,11.545,11.545,11.545,11.545,11.545,0.0
McBurnie,FWD,Hull,5.5,2.0,11.533,,,,,0.0
Nketiah,FWD,Crystal Palace,5.5,0.7,11.444,11.602,11.611,11.831,11.942,0.498
Olusesi,MID,Tottenham,4.5,0.7,11.444,,,,,0.0
Enciso,MID,Ipswich,5.5,0.8,11.441,,,,,0.0
Fletcher,MID,Man United,4.5,0.3,11.439,,,,,0.0
Mosquera,DEF,Arsenal,5.4,3.5,11.432,11.432,11.432,11.432,11.432,0.0
Shahar,DEF,Newcastle,4.0,0.3,11.406,,,,,0.0
Alcaraz,MID,Everton,5.0,0.1,11.363,11.593,11.718,11.903,11.816,0.54
Awoniyi,FWD,Coventry,5.5,0.7,11.303,11.026,10.691,10.647,10.59,0.713
Johnson,MID,Everton,5.9,0.1,11.301,12.87,14.261,15.228,15.939,4.638
Vitor Reis,DEF,Man City,4.5,0.0,11.175,,,,,0.0
Christie,MID,Bournemouth,5.0,0.0,11.15,11.997,13.029,13.753,14.286,3.137
Gray,MID,Tottenham,5.0,0.2,11.123,11.192,10.984,11.137,11.116,0.209
Ouattara,DEF,Ipswich,4.0,0.9,11.105,,,,,0.0
Tosin,DEF,Tottenham,4.4,0.2,11.063,12.14,12.755,13.572,13.889,2.826
Henry,DEF,Brentford,4.5,0.2,10.997,10.675,10.508,10.39,10.3,0.697
Targett,DEF,Hull,4.0,2.0,10.975,,,,,0.0
Belloumi,MID,Hull,5.0,0.9,10.95,,,,,0.0
Elanga,MID,Newcastle,6.1,11.0,10.926,12.031,12.881,13.627,14.251,3.325
Sávio,MID,Tottenham,6.5,0.7,10.91,12.252,13.214,13.905,14.382,3.471
Amenda,DEF,Coventry,4.0,0.8,10.878,,,,,0.0
Rowe,DEF,Aston Villa,4.0,0.2,10.835,,,,,0.0
Svoboda,DEF,Brighton,5.0,0.1,10.835,,,,,0.0
Walle Egeli,FWD,Ipswich,4.5,3.4,10.827,,,,,0.0
Talbi,MID,Sunderland,5.4,0.2,10.81,10.81,10.81,10.81,10.81,0.0
Bouaddi,MID,Man City,5.5,0.1,10.783,,,,,0.0
Bendito Mantato,MID,Man United,4.5,0.2,10.778,,,,,0.0
Maitland-Niles,DEF,Everton,4.5,0.1,10.721,,,,,0.0
Tsimikas,DEF,Liverpool,4.9,0.1,10.701,,,,,0.0
Kovačić,MID,Man City,5.4,0.1,10.693,,,,,0.0
Gittens,MID,Chelsea,5.9,0.0,10.689,10.689,10.689,10.689,10.689,0.0
Iroegbunam,MID,Hull,5.0,0.0,10.687,10.514,10.179,9.994,9.878,0.808
Longstaff,MID,Leeds,4.9,0.1,10.662,10.317,10.072,9.725,9.667,0.995
Willock,MID,Newcastle,5.0,0.5,10.66,10.333,10.126,10.089,10.056,0.604
Boscagli,DEF,Brighton,4.5,0.3,10.645,10.645,10.645,10.645,10.645,0.0
Dowman,MID,Arsenal,5.3,0.1,10.639,,,,,0.0
George,MID,Everton,5.5,0.4,10.637,10.607,10.418,10.566,10.468,0.219
O.Richards,DEF,Nott'm Forest,4.0,0.2,10.5,,,,,0.0
Jair Cunha,DEF,Nott'm Forest,4.5,0.2,10.497,10.497,10.497,10.497,10.497,0.0
Guessand,MID,Crystal Palace,5.5,0.0,10.474,10.474,10.474,10.474,10.474,0.0
Ndoye,MID,Nott'm Forest,5.5,0.7,10.47,10.47,10.47,10.47,10.47,0.0
King,MID,Fulham,5.5,1.0,10.462,10.438,10.446,10.565,10.307,0.258
Steele,GK,Brighton,4.0,4.3,10.459,,,,,0.0
Furo,FWD,Brentford,4.5,1.1,10.368,,,,,0.0
Diakité,DEF,Bournemouth,5.0,0.2,10.336,10.336,10.336,10.336,10.336,0.0
Ruggeri,DEF,Aston Villa,4.5,0.1,10.306,,,,,0.0
Clarke,MID,Ipswich,5.5,0.2,10.305,,,,,0.0
Allan,MID,Man City,6.0,0.0,10.3,,,,,0.0
Tanaka,MID,Leeds,4.9,0.2,10.299,10.299,10.299,10.299,10.299,0.0
Dominguez,MID,Nott'm Forest,4.9,0.1,10.265,10.567,10.941,11.307,11.283,1.042
Henderson,MID,Chelsea,5.0,0.0,10.239,10.239,10.239,10.239,10.239,0.0
Sanchez,DEF,Bournemouth,4.5,0.2,10.234,,,,,0.0
