scope,kappa,endpoint,lam,hold,brier,base,gain,n
horizon,inf,hrest,0.475,LOSO,,,0.004481889600905727,4
horizon,4,h1,0.4,LOSO,,,0.07927664099427004,4
horizon,4,h2,0.5,LOSO,,,0.056033331557897414,4
horizon,4,h3,0.55,LOSO,,,0.03983302998202921,4
horizon,4,h5,0.6499999999999999,LOSO,,,0.025531342139431038,4
horizon,4,h10,0.75,LOSO,,,0.011803197659286576,4
horizon,4,hrest,0.825,LOSO,,,0.003262292977977407,3
by_cutoff,4,next,0.1,k3,0.10403571605112355,0.10832843337487166,0.039626875327303225,2021
by_cutoff,4,next,0.3,k5,0.08787077221801655,0.09881482265047553,0.11075312527929043,2020
by_cutoff,4,next,0.45,k8,0.0806670991988716,0.09052806554967133,0.10892717403078898,2016
by_cutoff,4,next,0.5,k12,0.0823317115769766,0.09450364179412252,0.12879853078744458,2009
