rank,player,pos,team,status,cost_m,own,nfix,exp_starts,mean,sd,p5,p25,median,p75,p95,pts_per_fix,pts_per_m,p_ceiling,p_floor,cold_start,adj_delta,adj_total,gw_from,gw_to,id
276.0,Madueke,MID,Arsenal,projected,6.5,0.4,6,2.59,11.355,8.825,0.0,5.0,9.627,15.358,28.263,1.892,1.747,0.015,0.615,False,0.0,11.355,1,6,16
277.0,Aznou,DEF,Everton,projected,4.0,0.2,6,2.65,11.333,10.512,0.0,4.0,9.948,16.064,28.514,1.889,2.833,0.02,0.626,True,0.0,11.333,1,6,-1
278.0,Reed,MID,Fulham,projected,4.5,1.1,6,2.32,11.33,12.333,0.0,4.0,8.0,14.358,32.466,1.888,2.518,0.038,0.677,True,0.0,11.33,1,6,-1
279.0,Joelinton,MID,Newcastle,projected,5.5,0.0,6,2.66,11.311,7.856,2.0,6.0,10.0,15.627,26.102,1.885,2.057,0.01,0.621,False,0.0,11.311,1,6,458
280.0,Andrey Santos,MID,Man United,projected,5.0,1.4,6,2.18,11.307,8.188,2.0,5.627,9.358,15.0,28.362,1.885,2.261,0.015,0.645,False,0.0,11.307,1,6,162
281.0,Maeda,MID,Ipswich,projected,5.5,0.4,6,2.93,11.301,10.441,1.0,5.0,9.0,13.426,29.735,1.883,2.055,0.034,0.69,True,0.0,11.301,1,6,-1
282.0,J.Araujo,DEF,Bournemouth,projected,4.5,0.1,6,3.09,11.293,10.239,1.0,5.0,9.358,14.717,26.089,1.882,2.51,0.024,0.643,True,0.0,11.293,1,6,-1
283.0,Adli,MID,Bournemouth,projected,5.0,0.2,6,1.76,11.28,8.536,2.0,5.0,9.358,15.358,28.381,1.88,2.256,0.019,0.633,False,0.0,11.28,1,6,77
284.0,Johnson,MID,Crystal Palace,projected,6.0,0.2,6,3.0,11.239,6.834,3.0,7.0,10.0,14.358,23.717,1.873,1.873,0.01,0.649,False,0.0,11.239,1,6,209
285.0,Gillespie,GK,Newcastle,projected,4.5,0.0,6,4.01,11.2,6.283,2.0,6.51,11.0,15.019,21.528,1.867,2.489,0.0,0.564,True,0.0,11.2,1,6,-1
286.0,Mason-Clark,MID,Coventry,projected,5.5,0.3,6,2.93,11.188,9.47,1.0,5.0,9.0,14.0,29.075,1.865,2.034,0.03,0.687,True,0.0,11.188,1,6,-1
287.0,Valdimarsson,GK,Brentford,projected,4.5,0.1,6,4.01,11.162,6.256,2.0,6.51,10.51,15.142,22.528,1.86,2.481,0.0,0.573,True,0.0,11.162,1,6,-1
288.0,Iling Jr,MID,Aston Villa,projected,5.0,0.0,6,2.63,11.153,10.308,1.0,4.75,9.0,14.0,32.434,1.859,2.231,0.034,0.685,True,0.0,11.153,1,6,-1
289.0,Ellborg,GK,Sunderland,projected,4.5,0.1,6,4.01,11.122,6.171,2.0,6.51,10.51,15.51,22.528,1.854,2.472,0.0,0.571,True,0.0,11.122,1,6,-1
290.0,Grealish,MID,Man City,projected,6.5,0.2,6,2.15,11.109,8.364,1.0,5.0,9.358,14.985,27.362,1.851,1.709,0.02,0.632,False,0.0,11.109,1,6,238
291.0,Seelt,DEF,Sunderland,projected,4.5,0.0,6,3.09,11.072,8.621,1.0,5.0,9.358,15.717,25.125,1.845,2.46,0.012,0.616,True,0.0,11.072,1,6,-1
292.0,Jaouen,GK,Newcastle,projected,4.5,0.1,6,4.01,11.069,6.349,2.0,6.51,10.51,15.019,22.528,1.845,2.46,0.001,0.598,True,0.0,11.069,1,6,-1
293.0,Aina,DEF,Nott'm Forest,projected,4.5,4.6,6,2.86,11.053,6.74,2.0,6.0,10.358,14.717,23.075,1.842,2.456,0.005,0.598,False,0.0,11.053,1,6,473
294.0,Benitez,GK,Crystal Palace,projected,4.5,0.1,6,4.01,10.997,6.18,2.0,6.51,10.51,15.019,22.528,1.833,2.444,0.0,0.584,True,0.0,10.997,1,6,-1
295.0,Alysson,MID,Aston Villa,projected,5.0,0.0,6,2.63,10.975,11.178,1.0,5.0,9.0,14.0,28.891,1.829,2.195,0.035,0.693,True,0.0,10.975,1,6,-1
296.0,Emersonn,FWD,Ipswich,projected,5.5,0.3,6,2.59,10.925,10.625,1.0,4.0,8.0,13.627,32.766,1.821,1.986,0.039,0.698,True,0.0,10.925,1,6,-1
297.0,Bamba,MID,Newcastle,projected,5.0,0.1,6,2.63,10.919,11.958,1.0,5.0,8.0,13.0,29.448,1.82,2.184,0.037,0.724,True,0.0,10.919,1,6,-1
298.0,Nedeljkovic,DEF,Aston Villa,projected,4.0,0.5,6,2.65,10.913,9.627,1.0,4.0,9.0,15.358,27.613,1.819,2.728,0.021,0.644,True,0.0,10.913,1,6,-1
299.0,A.Becker,GK,Liverpool,projected,5.5,4.1,6,3.96,10.908,5.352,3.0,7.0,10.51,14.51,20.528,1.818,1.983,0.0,0.621,False,0.0,10.908,1,6,350
300.0,Bornauw,DEF,Leeds,projected,4.5,0.0,6,3.09,10.904,8.997,1.0,5.0,9.358,15.358,25.717,1.817,2.423,0.017,0.636,True,0.0,10.904,1,6,-1
301.0,Diarra,MID,Sunderland,projected,5.5,0.1,6,2.45,10.891,7.214,2.0,5.0,9.358,14.358,24.108,1.815,1.98,0.007,0.623,False,0.0,10.891,1,6,543
302.0,Tielemans,MID,Man United,projected,6.0,0.8,6,2.46,10.883,6.971,2.0,6.0,9.627,14.627,24.344,1.814,1.814,0.003,0.637,False,0.0,10.883,1,6,43
303.0,Koumas,MID,Liverpool,projected,5.0,0.0,6,2.63,10.849,11.622,1.0,4.0,8.0,13.0,32.447,1.808,2.17,0.037,0.727,True,0.0,10.849,1,6,-1
304.0,Amass,DEF,Man United,projected,4.0,0.2,6,2.65,10.802,8.946,0.0,4.0,9.358,15.064,25.618,1.8,2.7,0.019,0.623,True,0.0,10.802,1,6,-1
