gw,team,opp,venue,xGA,cs_prob
3,Ipswich,Liverpool,H,1.9377,0.177
5,Ipswich,Everton,A,1.9616,0.1746
8,Tottenham,Chelsea,A,1.8575,0.1739
10,Aston Villa,Man United,A,1.8751,0.1711
8,Everton,Arsenal,A,1.9287,0.1632
9,Brighton,Man City,A,1.9536,0.1597
3,Hull,Aston Villa,H,2.1026,0.1555
8,Hull,Brentford,H,2.101,0.1554
3,Chelsea,Arsenal,A,1.9912,0.1542
8,Bournemouth,Man United,A,2.0087,0.1515
5,Sunderland,Man City,A,2.0191,0.1504
6,Tottenham,Man United,A,2.0789,0.1428
6,Leeds,Arsenal,A,2.0961,0.1403
7,Hull,Fulham,A,2.3265,0.1299
1,Bournemouth,Man City,A,2.2132,0.1265
1,Hull,Man United,H,2.4763,0.1162
1,Coventry,Arsenal,A,2.5762,0.1074
5,Hull,Newcastle,A,2.5828,0.1072
2,Ipswich,Man United,A,2.6376,0.1024
4,Hull,Chelsea,A,2.7972,0.091
3,Coventry,Man City,A,2.7898,0.0907
7,Ipswich,Man City,A,2.9052,0.0837
10,Hull,Arsenal,A,3.1795,0.0684
