player,pos,team,cost,own,gw,mean,solio,blended,src,sd,defcon_ev,cs_ev,p5,median,p95,opponent,is_home,lam_for,lam_against,opp_att_strength,opp_def_strength,opp_att_rank,opp_def_rank,own_att_strength,own_def_strength,attack_ease,clean_sheet_prob,player_code,cold_start,minutes_prior,p_start_prior,npxgi_rate90,xa_rate90,defcon_rate90,pen_xg90,exp_minutes_src,npxgi_alpha,npxgi_beta,xa_alpha,xa_beta,defcon_alpha,defcon_beta,start_a,start_b,sub_app_rate,exp_minutes,pen_order,fk_order,corner_order
Costinha,DEF,Brighton,4.5,0.0,3,1.703,,1.703,model,3.084,0.226,0.561,0.0,0.0,7.358,Leeds,1,1.5519038609251665,1.1707158542053697,-0.0462122466265176,-0.08963999810273936,11,16,0.002114258889398704,0.0903677300833893,1.076993485545384,0.3101448432897418,451490,True,0.0,0.3862747784253992,0.09257432739252648,0.046507627377875595,8.421520428158146,0.0,positional fallback,0.13886149108878973,1.5,0.0697614410668134,1.5,12.63228064223722,1.5,2.317648670552395,3.6823513294476045,0.0,87.5,,,
Monga,MID,Man City,5.0,0.0,3,1.699,,1.699,model,3.756,0.087,0.173,0.0,0.0,8.358,Coventry,1,2.6131591405037704,0.7838649465482929,-0.24714999866925966,-0.2569973557142033,18,18,0.34937094255506673,0.2997093233993791,1.8134856429432167,0.4566377159588152,649208,True,0.0,0.3752869515953337,0.19982660674671937,0.09350769530701131,8.189865176177413,0.0,positional fallback,0.29973991012007906,1.5,0.14026154296051696,1.5,12.28479776426612,1.5,2.2517217095720024,3.748278290427998,0.0,83.1,,,
Cook,MID,Bournemouth,5.0,0.1,3,1.679,,1.679,model,2.052,0.017,0.117,0.0,2.0,5.627,Newcastle,0,1.5864379694796789,1.5444002069268572,0.030854803261021555,-0.06096728233925829,9,15,0.10826347076159326,-0.05559135062668036,1.1009595383910509,0.2134398525830237,155408,False,2361.0,0.6438356164383562,0.1354848591199875,0.09829496990170072,5.865189577157123,0.0,player history,2.8944082069999997,21.363333333333333,2.099908207,21.363333333333333,125.3,21.363333333333333,18.799999999999997,10.399999999999999,0.3333333333333333,88.28855218855219,,,5.0
Maeda,MID,Ipswich,5.5,0.5,3,1.675,,1.675,model,2.513,0.113,0.076,0.0,2.0,8.358,Liverpool,1,1.1039250781607162,2.0917385187258892,0.1540094947008591,-0.01817713701313463,4,11,-0.2756852033521451,-0.2873076154141813,0.7661042334159129,0.12347229022633952,442967,True,0.0,0.5242119423737605,0.22393763537834674,0.10479031054794619,8.189865176177413,0.0,positional fallback,0.3359064530675201,1.5,0.15718546582191928,1.5,12.28479776426612,1.5,3.1452716542425625,2.8547283457574375,0.0,83.1,,,
Isidor,FWD,Sunderland,5.5,1.2,3,1.674,,1.674,model,2.335,0.001,0.0,0.0,1.0,7.353,Brentford,0,1.124916040469881,1.4424725881194753,0.06619017754922284,-0.025658339285556685,7,12,-0.20262032259882085,0.04642591236869285,0.7806715853192854,0.2363426575759463,437505,False,1148.0,0.2912280701754386,0.40236396723174367,0.04197834875186289,4.174739195230998,0.0,player history,4.799755058,11.928888888888888,0.500755058,11.928888888888888,49.8,11.928888888888888,8.3,20.2,0.6571428571428571,77.24829931972789,,,
Diop,DEF,Ipswich,4.0,18.5,3,1.672,,1.672,model,2.224,0.166,0.413,0.0,1.0,6.358,Liverpool,1,1.1039250781607162,2.0917385187258892,0.1540094947008591,-0.01817713701313463,4,11,-0.2756852033521451,-0.2873076154141813,0.7661042334159129,0.12347229022633952,219924,False,1479.5,0.49309664694280075,0.07837413955501091,0.014578329039175893,4.852755332592961,0.0,player history,1.1369910589999999,14.507222222222222,0.21149105900000004,14.507222222222222,70.39999999999999,14.507222222222222,12.5,12.850000000000001,0.2786885245901639,88.51449275362319,,,
Adli,MID,Bournemouth,5.0,0.2,3,1.668,,1.668,model,2.415,0.061,0.054,0.0,1.0,7.358,Newcastle,0,1.5864379694796789,1.5444002069268572,0.030854803261021555,-0.06096728233925829,9,15,0.10826347076159326,-0.05559135062668036,1.1009595383910509,0.2134398525830237,489888,False,1074.0,0.2733812949640288,0.3128821350264239,0.1143501326776277,9.803288314738696,0.0,player history,3.552255173,11.353333333333333,1.2982551729999998,11.353333333333333,111.3,11.353333333333333,7.6,20.199999999999996,0.6764705882352942,79.17299270072992,,,
Walle Egeli,FWD,Ipswich,4.5,2.1,3,1.665,,1.665,model,2.762,0.009,0.0,0.0,2.0,7.353,Liverpool,1,1.1039250781607162,2.0917385187258892,0.1540094947008591,-0.01817713701313463,4,11,-0.2756852033521451,-0.2873076154141813,0.7661042334159129,0.12347229022633952,557012,True,0.0,0.5223212695699564,0.34296177814343637,0.04848105506296637,4.432345205189561,0.0,positional fallback,0.5144426672151545,1.5,0.07272158259444955,1.5,6.648517807784342,1.5,3.1339276174197384,2.8660723825802616,0.0,81.5,,,
Koumas,MID,Liverpool,5.0,0.0,3,1.663,,1.663,model,3.694,0.123,0.127,0.0,0.0,8.358,Ipswich,0,2.0917385187258892,1.1039250781607162,-0.2756852033521451,-0.2873076154141813,19,19,0.1540094947008591,-0.01817713701313463,1.4516290698504581,0.3315670994712515,514514,True,0.0,0.3752869515953337,0.19982660674671937,0.09350769530701131,8.189865176177413,0.0,positional fallback,0.29973991012007906,1.5,0.14026154296051696,1.5,12.28479776426612,1.5,2.2517217095720024,3.748278290427998,0.0,83.1,,,
Fábio Vieira,MID,Arsenal,5.5,0.0,3,1.661,,1.661,model,3.614,0.091,0.174,0.0,0.0,8.358,Chelsea,1,1.9077319596523092,0.8820448511674764,0.11976511913229088,-0.02705992349099506,5,13,0.2714723575117312,0.5445571299369384,1.3239318133324374,0.4139356089596039,438098,True,0.0,0.3755508017988602,0.22393763537834674,0.10479031054794619,8.189865176177413,0.0,positional fallback,0.3359064530675201,1.5,0.15718546582191928,1.5,12.28479776426612,1.5,2.253304810793161,3.7466951892068385,0.0,83.1,,,
Nyoni,MID,Liverpool,5.0,0.1,3,1.654,,1.654,model,3.612,0.099,0.142,0.0,0.0,8.358,Ipswich,0,2.0917385187258892,1.1039250781607162,-0.2756852033521451,-0.2873076154141813,19,19,0.1540094947008591,-0.01817713701313463,1.4516290698504581,0.3315670994712515,591386,True,0.0,0.400505496938252,0.19982660674671937,0.09350769530701131,8.189865176177413,0.0,positional fallback,0.29973991012007906,1.5,0.14026154296051696,1.5,12.28479776426612,1.5,2.403032981629512,3.596967018370488,0.0,83.1,,,
