player_code,understat_player_id,name_fpl,name_understat,team,match_method,confidence,verified
174874,6314,Andersen,Joachim Andersen,Fulham,exact_name_team,1.0,True
199598,6369,Ampadu,Ethan Ampadu,Leeds,exact_name_team,1.0,True
214225,6377,Rodon,Joe Rodon,Leeds,exact_name_team,1.0,True
247632,6382,Neto,Pedro Neto,Chelsea,exact_name_team,1.0,True
209046,6456,Hudson-Odoi,Callum Hudson-Odoi,Nott'm Forest,exact_name_team,1.0,True
205533,6482,Nketiah,Eddie Nketiah,Crystal Palace,exact_name_team,1.0,True
174594,6544,Nmecha,Lukas Nmecha,Leeds,exact_name_team,1.0,True
446008,6552,Mbeumo,Bryan Mbeumo,Man United,exact_name_team,1.0,True
180736,6615,Chalobah,Trevoh Chalobah,Chelsea,exact_name_team,1.0,True
200089,6630,Willock,Joe Willock,Newcastle,exact_name_team,1.0,True
206915,6665,C.Jones,Curtis Jones,Liverpool,exact_name_team,1.0,True
201666,6681,Barnes,Harvey Barnes,Newcastle,exact_name_team,1.0,True
434752,6807,Bijol,Jaka Bijol,Leeds,exact_name_team,1.0,True
172780,6818,Maddison,James Maddison,Tottenham,exact_name_team,1.0,True
111317,6820,Brooks,David Brooks,Bournemouth,exact_name_team,1.0,True
76357,6835,Cairney,Tom Cairney,Fulham,exact_name_team,1.0,True
184349,6837,Sessegnon,Ryan Sessegnon,Fulham,exact_name_team,1.0,True
222531,6857,Gibbs-White,Morgan Gibbs-White,Nott'm Forest,exact_name_team,1.0,True
462424,6888,Saliba,William Saliba,Arsenal,exact_name_team,1.0,True
85633,6903,Sels,Matz Sels,Nott'm Forest,exact_name_team,1.0,True
441164,6912,Pedro Porro,Pedro Porro,Tottenham,exact_name_team,1.0,True
463067,6937,Georginio,Georginio Rutter,Brighton,exact_name_team,1.0,True
222683,6963,Kluivert,Justin Kluivert,Bournemouth,exact_name_team,1.0,True
218364,7075,Sosa,Borna Sosa,Crystal Palace,exact_name_team,1.0,True
180135,7078,Longstaff,Sean Longstaff,Leeds,exact_name_team,1.0,True
430871,7080,Cunha,Matheus Cunha,Man United,exact_name_team,1.0,True
437505,7148,Isidor,Wilson Isidor,Sunderland,exact_name_team,1.0,True
207283,7166,Jensen,Mathias Jensen,Brentford,exact_name_team,1.0,True
221632,7218,Romero,Cristian Romero,Tottenham,exact_name_team,1.0,True
242880,7240,B.Badiashile,Benoit Badiashile Mukinayi,Chelsea,exact_name_team,1.0,True
224117,7254,Gyökeres,Viktor Gyokeres,Arsenal,exact_name_team,1.0,True
242882,7268,Diakité,Bafode Diakite,Bournemouth,exact_name_team,1.0,True
216051,7281,Dalot,Diogo Dalot,Man United,exact_name_team,1.0,True
223340,7322,Saka,Bukayo Saka,Arsenal,exact_name_team,1.0,True
200785,7352,Adams,Tyler Adams,Bournemouth,exact_name_team,1.0,True
78916,7382,Burn,Dan Burn,Newcastle,exact_name_team,1.0,True
434399,7432,Reinildo,Reinildo,Sunderland,exact_name_team,1.0,True
232928,7438,Garner,James Garner,Everton,exact_name_team,1.0,True
481655,7526,Zubimendi,Martín Zubimendi,Arsenal,exact_name_team,1.0,True
444463,7589,Fofana,Wesley Fofana,Chelsea,exact_name_team,1.0,True
172649,7702,Henderson,Dean Henderson,Crystal Palace,exact_name_team,1.0,True
122806,7723,McGinn,John McGinn,Aston Villa,exact_name_team,1.0,True
199798,7726,Konsa,Ezri Konsa Ngoyo,Aston Villa,exact_name_team,1.0,True
444145,7752,Martinelli,Gabriel Martinelli,Arsenal,exact_name_team,1.0,True
220627,7753,Justin,James Justin,Leeds,exact_name_team,1.0,True
184341,7768,Mount,Mason Mount,Man United,exact_name_team,1.0,True
437738,7791,Bornauw,Sebastiaan Bornauw,Leeds,exact_name_team,1.0,True
210156,7814,Awoniyi,Taiwo Awoniyi,Nott'm Forest,exact_name_team,1.0,True
209365,7902,De Ligt,Matthijs de Ligt,Man United,exact_name_team,1.0,True
200720,7904,Kelleher,Caoimhin Kelleher,Brentford,exact_name_team,1.0,True
