team,player,role,as_of
Coventry,Awoniyi,start,2026-08-28
Hull,Tzolakis,start,2026-08-28
Hull,Giles,start,2026-08-28
Hull,Egan,start,2026-08-28
Hull,Mendy,start,2026-08-28
Hull,Coyle,start,2026-08-28
Hull,Slater,start,2026-08-28
Hull,Crooks,start,2026-08-28
Hull,Stroud,start,2026-08-28
Hull,Belloumi,start,2026-08-28
Hull,Hjerto-Dahl,start,2026-08-28
Hull,McBurnie,start,2026-08-28
Bournemouth,Petrovic,start,2026-08-28
Bournemouth,Truffert,start,2026-08-28
Bournemouth,Hill,start,2026-08-28
Bournemouth,Silva,start,2026-08-28
Bournemouth,Smith,start,2026-08-28
Bournemouth,Christie,start,2026-08-28
Bournemouth,Scott,start,2026-08-28
Bournemouth,Tavernier,start,2026-08-28
Bournemouth,Kluivert,start,2026-08-28
Bournemouth,Rayan,start,2026-08-28
Bournemouth,Evanilson,start,2026-08-28
Everton,Pickford,start,2026-08-28
Everton,Mykolenko,start,2026-08-28
Everton,Branthwaite,start,2026-08-28
Everton,Tarkowski,start,2026-08-28
Everton,Rohl,start,2026-08-28
Everton,Armstrong,start,2026-08-28
Everton,Garner,start,2026-08-28
Everton,George,start,2026-08-28
Everton,Dewsbury-Hall,start,2026-08-28
Everton,Ndiaye,start,2026-08-28
Everton,Barry,start,2026-08-28
Tottenham,Kinsky,start,2026-08-28
Tottenham,Robertson,start,2026-08-28
Tottenham,van Hecke,start,2026-08-28
Tottenham,van de Ven,start,2026-08-28
Tottenham,Porro,start,2026-08-28
Tottenham,Bentancur,start,2026-08-28
Tottenham,Tonali,start,2026-08-28
Tottenham,Fernandes,start,2026-08-28
Tottenham,Tel,start,2026-08-28
Tottenham,Savinho,start,2026-08-28
Tottenham,Solanke,start,2026-08-28
Newcastle,Hornicek,start,2026-08-28
Newcastle,Hall,start,2026-08-28
Newcastle,Thiaw,start,2026-08-28
Newcastle,Botman,start,2026-08-28
Newcastle,Dedic,start,2026-08-28
Newcastle,Ramsey,start,2026-08-28
Newcastle,Miley,start,2026-08-28
Newcastle,Barnes,start,2026-08-28
Newcastle,Willock,start,2026-08-28
Newcastle,Elanga,start,2026-08-28
Newcastle,Wissa,start,2026-08-28
Sunderland,Roefs,start,2026-08-28
Sunderland,Reinildo,start,2026-08-28
Sunderland,Ballard,start,2026-08-28
Sunderland,Alderete,start,2026-08-28
Sunderland,Mukiele,start,2026-08-28
Sunderland,Xhaka,start,2026-08-28
Sunderland,Sadiki,start,2026-08-28
Sunderland,Angulo,start,2026-08-28
Sunderland,Le Fee,start,2026-08-28
Sunderland,Hume,start,2026-08-28
Sunderland,Brobbey,start,2026-08-28
Fulham,Leno,start,2026-08-28
Fulham,Robinson,start,2026-08-28
Fulham,Andersen,start,2026-08-28
Fulham,Bassey,start,2026-08-28
Fulham,Castagne,start,2026-08-28
Fulham,Iwobi,start,2026-08-28
Fulham,Berge,start,2026-08-28
Fulham,Palacios,start,2026-08-28
Fulham,King,start,2026-08-28
Fulham,Bobb,start,2026-08-28
Fulham,Gonzalo,start,2026-08-28
Leeds,Trafford,start,2026-08-28
Leeds,Rodon,start,2026-08-28
